trial,scenario_index,scenario_name,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
1,1,center_tall_barrier,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.2068388067307647,0.4991315863337354,-0.299141151832168,0.7599999669382451,0.4468465161416556,0.0012213772849683246,4.619854323992166e-05,0.3111111111111111,1.0,True,0.039983908,7.785060415621153,67.67681673799962,,physical lift and upright placement verified
2,2,positive_y_barrier,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8998373839318657,0.5001452779343445,-0.3001618925558618,0.759999985056792,0.13984509334275663,0.0002175198337489405,1.392462677356116e-05,0.35555555555555557,1.0,True,0.029246585000000002,6.1138724688781,54.101886010999806,,physical lift and upright placement verified
3,3,negative_y_barrier,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,0.9613397600394169,0.5005389187939976,-0.3004918082841477,0.7599999304949278,0.2013474694503078,0.0007295949970436091,0.00012328976272252487,0.35555555555555557,1.0,True,0.043858729,8.703367422550816,73.83585346200016,,physical lift and upright placement verified
4,4,center_tall_barrier,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.1150095073845558,0.5005773783617327,-0.30058127266648704,0.7599999805797965,0.35501721679544673,0.0008192946269683487,1.4158234202550823e-05,0.3111111111111111,1.0,True,0.040552929,8.751406864864988,72.04336158000024,,physical lift and upright placement verified
5,5,positive_y_barrier,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8948873278757313,0.4988406394943192,-0.29919183066225297,0.7599999414903328,0.13489503728662222,0.0014132425354588716,9.017321050302616e-05,0.35555555555555557,1.0,True,0.031876693,8.019414471002849,60.30939937099993,,physical lift and upright placement verified
6,6,negative_y_barrier,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.2598034049496958,0.4849170104519845,-0.3095613625087292,0.7599999248737251,0.4998111143605867,0.017858225744303974,0.00010817349159943082,0.35555555555555557,1.0,True,0.030387393,7.861334222025381,67.16873392900015,,physical lift and upright placement verified
7,7,center_tall_barrier,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.0991669450344783,0.4989442041839933,-0.2990545877119516,0.7599999363872101,0.3391746544453692,0.0014172188269765181,9.348723963202948e-05,0.3111111111111111,1.0,True,0.030355353,8.50222852269648,70.2693001560001,,physical lift and upright placement verified
8,8,positive_y_barrier,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8903759722746439,0.49833719159456275,-0.2990241115740401,0.7599999848748282,0.13038368168553482,0.0019280274928911352,1.9148146328926346e-05,0.35555555555555557,1.0,True,0.0225695,9.379390054462895,74.70313277399964,,physical lift and upright placement verified
9,9,negative_y_barrier,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.1338425874212534,0.48655863251019466,-0.2924548818523683,0.7599999331452475,0.3738502968321443,0.015414252101940815,0.0001021785513465671,0.35555555555555557,1.0,True,0.041155694,7.65230530521307,65.91611917499995,,physical lift and upright placement verified
10,10,center_tall_barrier,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,0.949330157457129,0.5000092854619483,-0.29995898369908675,0.7599999512309109,0.1893378668680199,4.205424024547157e-05,7.863528744351484e-05,0.3111111111111111,1.0,True,0.032841016,8.446023355536068,67.70311193799989,,physical lift and upright placement verified
11,11,positive_y_barrier,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8947947313234061,0.4989501518067987,-0.29909895503154144,0.7599999835835218,0.13480244073429704,0.0013834967525158948,1.2460416145305404e-05,0.35555555555555557,1.0,True,0.029314593,6.373952959643061,53.07418168000004,,physical lift and upright placement verified
12,12,negative_y_barrier,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.041788166665618,0.4850736591500292,-0.2890560942628501,0.759999977778432,0.2817958760765088,0.018508504098214494,3.01129245035748e-05,0.35555555555555557,1.0,True,0.02599605,11.656903735456495,81.76042754299942,,physical lift and upright placement verified
13,13,center_tall_barrier,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,0.990654461135002,0.49897030726331715,-0.29637719813552627,0.759999939818122,0.2306621705458929,0.0037662926711600057,9.070516290915067e-05,0.3111111111111111,1.0,True,0.034899495,10.468095106824954,80.10416785899997,,physical lift and upright placement verified
14,14,positive_y_barrier,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8967666438681331,0.4984155978455913,-0.29957320582089125,0.7599999290320869,0.13677435327902399,0.0016408788691589795,0.00010374315961708578,0.35555555555555557,1.0,True,0.028973497,6.404908514389903,53.38951719800025,,physical lift and upright placement verified
15,15,negative_y_barrier,RRTConnectkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.1703101933434996,0.5056523904021187,-0.29001276581492624,0.7599999852787676,0.4103179027543905,0.011475816481875543,1.3418106104862006e-05,0.35555555555555557,1.0,True,0.040530736000000005,7.342718892470218,65.98084339600064,,physical lift and upright placement verified
16,16,center_tall_barrier,RRTConnectkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.0677785359502334,0.4986551275199177,-0.29912097255666054,0.7599999745497055,0.3077862453611243,0.001606664630367626,6.649027784375802e-05,0.3111111111111111,1.0,True,0.041050586,9.717899462243672,74.43524247200003,,physical lift and upright placement verified
17,17,positive_y_barrier,RRTConnectkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8991182485176714,0.4988836379313518,-0.2989884917815019,0.7599999570348281,0.1391259579285623,0.001506457150486417,4.516938675536285e-05,0.35555555555555557,1.0,True,0.019280981,6.566080866994566,53.84342619299969,,physical lift and upright placement verified
