trial,scenario_index,scenario_name,perception_mode,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,perception_validation_state,perception_samples,perception_mean_error_m,perception_max_error_m,perception_std_error_m,perception_mean_x_error_m,perception_mean_y_error_m,perception_mean_z_error_m,perception_first_detection_latency_s,perception_validation_duration_s,perception_detection_rate,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
1,1,baseline_001,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.886246397579787,0.4533499202015826,-0.08336426241159205,0.7599999774226767,0.12625410699067785,0.004747654887576813,1.2806604693773936e-05,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,5.176556708000021,1.1604265610000084,1.0,0.01562896,2.7056377175493678,103.75501000400004,,physical lift and upright placement verified
2,2,baseline_002,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8878232472466292,0.4499978565061885,-0.08011985909254238,0.7599999616574347,0.1278309566575201,0.00011987826367175257,4.5096708692589134e-05,,,,SUCCESS,10,0.0005504944389219371,0.0005505944965992767,1.5416273254058012e-07,-1.5511657165956372e-05,1.6195190197666763e-05,0.000550037481950895,4.99836368199999,1.1216884320000418,1.0,0.016309286,2.849658401995192,105.06380632500009,,physical lift and upright placement verified
3,3,baseline_003,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.887623863089333,0.451173723591955,-0.08115974439103676,0.7599999484158215,0.12763157250022394,0.001650040643594547,9.517948869537715e-05,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.839350795000087,1.1719210239999711,1.0,0.014947861,2.661517695573073,103.15526207999994,,physical lift and upright placement verified
4,4,baseline_004,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8862183721552221,0.45352554518093036,-0.08354262985833968,0.7599999844101641,0.12622608156611304,0.0049979691011674,1.3309014001239913e-05,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.838484999000002,1.1808014209999556,1.0,0.014748803,2.981105170210171,107.696875396,,physical lift and upright placement verified
5,5,baseline_005,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8865657078863604,0.4529302772865523,-0.08253189122962644,0.7599999352606782,0.12657341729725125,0.003872595793383883,5.093387746403427e-05,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.8156460210000205,1.177073752999945,1.0,0.015044721,3.0749077557019673,107.01152625399993,,physical lift and upright placement verified
6,6,baseline_006,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8874677290285324,0.4504591283598812,-0.0807385795131915,0.7599995398762912,0.12747543843942333,0.0008696543910469379,0.00011830850809781554,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.884738578999986,1.1568229370000154,1.0,0.015077981999999998,3.0328034975222957,102.99788500900002,,physical lift and upright placement verified
7,7,baseline_007,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8873282586268301,0.45078912136981203,-0.08055795401384779,0.7599999636259872,0.12733596803772096,0.0009664498016896258,6.412971148406018e-05,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.866195655000183,1.1649107399998684,1.0,0.004633417,3.3248713473621034,106.62669393300007,,physical lift and upright placement verified
8,8,baseline_008,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8879033610623365,0.4506067042895962,-0.08062246562643927,0.7599999648606433,0.12791107047322736,0.0008692258350668267,4.8145566941593234e-05,,,,SUCCESS,10,0.0005504944389219371,0.0005505944965992767,1.5416273254058012e-07,-1.5511657165956372e-05,1.6195190197666763e-05,0.000550037481950895,5.527008797999997,1.1208117089997813,1.0,0.005938833,6.687809629613202,111.77853076999986,,physical lift and upright placement verified
9,9,baseline_009,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.887592642699662,0.4512145387497513,-0.08130478444682189,0.7599998628713946,0.12760035211055287,0.0017825730969921025,0.00012339023135201445,,,,SUCCESS,10,0.0005504944389219371,0.0005505944965992767,1.5416273254058012e-07,-1.5511657165956372e-05,1.6195190197666763e-05,0.000550037481950895,4.962356911999905,1.1239239199999247,1.0,0.015162084000000001,2.9447584347858458,103.06833001599989,,physical lift and upright placement verified
10,10,baseline_010,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8875716431580025,0.4512657197385384,-0.08123544953359374,0.7599999843799998,0.1275793525688934,0.001768723270279066,1.3309014001239913e-05,,,,SUCCESS,10,0.0005504944389219371,0.0005505944965992767,1.5416273254058012e-07,-1.5511657165956372e-05,1.6195190197666763e-05,0.000550037481950895,4.98618311700011,1.1193406249999498,1.0,0.004527974000000001,2.9256259751099942,103.68238745500003,,physical lift and upright placement verified
