adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.11
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.3
apport	2.28.1-0ubuntu3.8
apport-core-dump-handler	2.28.1-0ubuntu3.8
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.7.14build2
apt-utils	2.7.14build2
aptitude	0.8.13-5ubuntu5
aptitude-common	0.8.13-5ubuntu5
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
autoconf	2.71-3
automake	1:1.16.5-1.3ubuntu1
autotools-dev	20220109.1
avahi-daemon	0.8-13ubuntu6.2
babeltrace	1.5.11-3build3
base-files	13ubuntu10.1
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
binutils	2.42-4ubuntu2.8
binutils-common:amd64	2.42-4ubuntu2.8
binutils-x86-64-linux-gnu	2.42-4ubuntu2.8
blt	2.5.3+dfsg-7build1
bsdextrautils	2.39.3-9ubuntu6.5
bsdutils	1:2.39.3-9ubuntu6.5
build-essential	12.10ubuntu1
byobu	6.11-0ubuntu1
bzip2	1.0.8-5.1build0.1
bzip2-doc	1.0.8-5.1build0.1
ca-certificates	20260601~24.04.1
ca-certificates-java	20240118
catch2	3.4.0-1build1
cloud-guest-utils	0.33-1
cloud-init	25.1.4-0ubuntu0~24.04.1
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
comerr-dev:amd64	2.1-1.47.0-2.4~exp1ubuntu4.1
command-not-found	23.04.0
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
coreutils	9.4-3ubuntu6
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cppcheck	2.13.0-2ubuntu3
cppzmq-dev:amd64	4.10.0-1build1
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
curl	8.5.0-2ubuntu10.11
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dbus-x11	1.14.10-4ubuntu4.1
dconf-gsettings-backend:amd64	0.40.0-4build2
dconf-service	0.40.0-4build2
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
default-jdk	2:1.21-75+exp1
default-jdk-headless	2:1.21-75+exp1
default-jre	2:1.21-75+exp1
default-jre-headless	2:1.21-75+exp1
default-libmysqlclient-dev:amd64	1.1.0build1
dhcpcd-base	1:10.0.6-1ubuntu3.1
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
distro-info	1.7build1
distro-info-data	0.72-0ubuntu0.24.04.1
dmsetup	2:1.02.185-3ubuntu3.1
docutils-common	0.20.1+dfsg-3
dpkg	1.22.6ubuntu6.6
dpkg-dev	1.22.6ubuntu6.6
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
ed	1.20.1-1
eject	2.39.3-9ubuntu6.5
fakeroot	1.33-1
fdisk	2.39.3-9ubuntu6.5
file	1:5.45-3build1
findutils	4.9.0-5build1
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-extra	2.37-8
fonts-dejavu-mono	2.37-8
fonts-lato	2.015-1
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-liberation2	1:2.1.5-3
fonts-lyx	2.4.0~RC3-1build4
fonts-open-sans	1.11-2
fonts-ubuntu	0.869+git20240321-0ubuntu1
freeglut3-dev:amd64	3.4.0-1build1
fuse3	3.14.0-5build1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gawk	1:5.2.1-2ubuntu0.1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gdal-data	3.8.4+dfsg-3ubuntu3
gdal-plugins:amd64	3.8.4+dfsg-3ubuntu3
gdisk	1.0.10-1build1
geoclue-2.0	2.7.0-3ubuntu7
gettext-base	0.21-14ubuntu2
gfortran	4:13.2.0-7ubuntu1
gfortran-13	13.3.0-6ubuntu2~24.04.1
gfortran-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gfortran-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gir1.2-girepository-2.0:amd64	1.80.1-1
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.8
gir1.2-ibus-1.0:amd64	1.5.29-2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
glib-networking:amd64	2.80.0-1build1
glib-networking-common	2.80.0-1build1
glib-networking-services	2.80.0-1build1
glslang-dev:amd64	15.1.0-2~ubuntu0.24.04.2
glslc	2023.8-1build1
gnupg	2.4.4-2ubuntu17.4
gnupg-l10n	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
gnupg2	2.4.4-2ubuntu17.4
google-mock:amd64	1.14.0-1
googletest	1.14.0-1
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
gpg-wks-client	2.4.4-2ubuntu17.4
gpgconf	2.4.4-2ubuntu17.4
gpgsm	2.4.4-2ubuntu17.4
gpgv	2.4.4-2ubuntu17.4
graphviz	2.42.2-9ubuntu0.1
grep	3.11-4build1
groff-base	1.23.0-3build2
gsettings-desktop-schemas	46.1-0ubuntu1
gstreamer1.0-plugins-base:amd64	1.24.2-1ubuntu0.4
gtk-update-icon-cache	3.24.41-4ubuntu1.2
gzip	1.12-1ubuntu3.2
hdf5-helpers	1.10.10+repack-3.1ubuntu4
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
humanity-icon-theme	0.6.16
i965-va-driver:amd64	2.4.1+dfsg1-1ubuntu0.2
ibverbs-providers:amd64	50.0-2ubuntu0.2
icu-devtools	74.2-1ubuntu3.1
iio-sensor-proxy	3.5-1build2
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
install-info	7.1-3build2
intel-media-va-driver:amd64	24.1.0+dfsg1-1ubuntu0.2
iproute2	6.1.0-1ubuntu6
iputils-ping	3:20240117-1ubuntu0.1
iso-codes	4.16.0-1
isympy-common	1.12-7
isympy3	1.12-7
java-common	0.75+exp1
javascript-common	11+nmu1
kbd	2.6.4-2ubuntu2
keyboard-configuration	1.226ubuntu1
keyboxd	2.4.4-2ubuntu17.4
kmod	31+20240202-2ubuntu7.2
krb5-locales	1.20.1-6ubuntu2.7
krb5-multidev:amd64	1.20.1-6ubuntu2.7
landscape-client	24.02-0ubuntu5.1
landscape-common	24.02-0ubuntu5.1
less	590-2ubuntu2.1
libaacs0:amd64	0.11.1-2build1
libacl1:amd64	2.3.2-1build1.1
libaec-dev:amd64	1.1.2-1build1
libaec0:amd64	1.1.2-1build1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl:amd64	0.04-8build3
libalgorithm-merge-perl	0.08-5
libamd-comgr2:amd64	6.0+git20231212.4510c28+dfsg-3build2
libamdhip64-5	5.7.1-3
libann0	1.1.2+doc-9build1
libaom-dev:amd64	3.8.2-2ubuntu0.1
libaom3:amd64	3.8.2-2ubuntu0.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.3
libappstream5:amd64	1.0.2-1build6
libapt-pkg6.0t64:amd64	2.7.14build2
libarchive13t64:amd64	3.7.2-2ubuntu0.8
libargon2-1:amd64	0~20190702+dfsg-4build1
libarmadillo-dev	1:12.6.7+dfsg-1build2
libarmadillo12	1:12.6.7+dfsg-1build2
libarpack2-dev:amd64	3.9.1-1.1build2
libarpack2t64:amd64	3.9.1-1.1build2
libasan8:amd64	14.2.0-4ubuntu2~24.04.1
libasound2-data	1.2.11-1ubuntu0.3
libasound2-dev:amd64	1.2.11-1ubuntu0.3
libasound2t64:amd64	1.2.11-1ubuntu0.3
libass9:amd64	1:0.17.1-2build1
libassimp-dev:amd64	5.3.1+ds-2build1
libassimp5:amd64	5.3.1+ds-2build1
libassuan0:amd64	2.5.6-1build1
libasyncns0:amd64	0.8-6build4
libatk-bridge2.0-0t64:amd64	2.52.0-1build1
libatk-wrapper-java	0.40.0-3build2
libatk-wrapper-java-jni:amd64	0.40.0-3build2
libatk1.0-0t64:amd64	2.52.0-1build1
libatm1t64:amd64	1:2.5.1-5.1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04.1
libatspi2.0-0t64:amd64	2.52.0-1build1
libattr1:amd64	1:2.5.2-1build1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libavahi-client3:amd64	0.8-13ubuntu6.2
libavahi-common-data:amd64	0.8-13ubuntu6.2
libavahi-common3:amd64	0.8-13ubuntu6.2
libavahi-core7:amd64	0.8-13ubuntu6.2
libavahi-glib1:amd64	0.8-13ubuntu6.2
libavc1394-0:amd64	0.5.4-5build3
libavcodec-dev:amd64	7:6.1.1-3ubuntu5
libavcodec60:amd64	7:6.1.1-3ubuntu5
libavdevice-dev:amd64	7:6.1.1-3ubuntu5
