trial,scenario_index,scenario_name,perception_mode,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,perception_validation_state,perception_samples,perception_mean_error_m,perception_max_error_m,perception_std_error_m,perception_mean_x_error_m,perception_mean_y_error_m,perception_mean_z_error_m,perception_first_detection_latency_s,perception_validation_duration_s,perception_detection_rate,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
1,1,random_001,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.531154,-0.056999,0.7599922905891091,0.887374502722701,0.44831481337209134,-0.08001824099780916,0.7599991785718361,0.1273822121335919,0.001685285548394548,0.00012889720207942096,,,,SUCCESS,10,0.001338155470990959,0.0013381966309806822,6.341030158231635e-08,-0.0004949894357672013,0.001114931157511427,0.0005500672842910462,5.302198301000004,1.1245783919999965,1.0,0.015064111,2.9475525100087054,123.53632341599999,,physical lift and upright placement verified
2,2,random_002,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.502002,-0.033215,0.7599922905891091,0.8878017489215548,0.44894981871494705,-0.07976387589216975,0.7599999566609903,0.12780945833244572,0.0010763992417557702,6.363334844115036e-05,,,,SUCCESS,10,0.001230719047765002,0.0012307638010151689,6.894627235908864e-08,0.0009222710287730695,0.0006012582538605371,0.0005500672841843538,5.0026187550000145,1.1254478909999932,1.0,0.015181578000000001,6.842640553106843,126.94501490100004,,physical lift and upright placement verified
3,3,random_003,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.538918,0.021204,0.7599922905891091,0.8866160169549131,0.45228022875352225,-0.08241509026426941,0.7599999485111228,0.126623726365804,0.0033214611476893065,9.177967420663314e-05,,,,SUCCESS,10,0.0008586289683536608,0.0008586931103296885,9.881885474027117e-08,-0.0006502539294491738,0.00010911036056395623,0.000550007679681909,4.965153955000005,1.1168485740000165,1.0,0.014940643,3.1213295614022645,108.51225384199995,,physical lift and upright placement verified
4,4,random_004,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.551374,-0.049567,0.7599922905891091,0.8873263588538957,0.45128413154051944,-0.08315147226305591,0.7599999832952035,0.12733406826478655,0.003403053222981769,1.344524082641768e-05,,,,SUCCESS,10,0.0016385979708601578,0.0016386315837895622,5.1783083912350045e-08,-0.0009449774352494611,0.0012204289895148684,0.0005500672844333768,5.005201528999976,1.1200690169999916,1.0,0.005077888,3.269809945269669,123.299261726,,physical lift and upright placement verified
5,5,random_005,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.513754,-0.056424,0.7599922905891091,0.8871865307264287,0.4497744879423135,-0.08200380371850216,0.7599999206192531,0.12719424013731961,0.0020164535791201304,0.0001166456038991977,,,,SUCCESS,10,0.001660131972429324,0.0016603306403198547,2.3283737519546873e-07,0.0004762173250324464,0.0014923938519835478,0.0005495592550049403,4.820246412000074,1.1862636939999902,1.0,0.004852654,5.579192179670253,127.83932726,,physical lift and upright placement verified
6,6,random_006,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.497491,0.000643,0.7599922905891091,0.8878558267816433,0.44817669748212424,-0.07878287237718892,0.7599999674581086,0.1278635361925342,0.002192220728613075,6.949214008504222e-05,,,,SUCCESS,10,0.0011415385107959317,0.0011415385107959317,0.0,0.0009760865646351591,0.00021850491643907142,0.0005501097994590545,5.4319125040000245,1.0962952709999172,1.0,0.003946657,3.56787215664207,108.117347204,,physical lift and upright placement verified
7,7,random_007,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.482123,-0.036139,0.7599922905891091,0.8879441247745925,0.44891622491944,-0.08079959397744113,0.7599999812930964,0.1279518341854834,0.001346818085100187,1.722423530049259e-05,,,,SUCCESS,10,0.0017329086910787064,0.0017330990151922336,2.2305777148765437e-07,0.001459222135227034,0.0007560604946919638,0.0005495592548270825,4.849182790999976,1.1698208120000118,1.0,0.014971189,2.633913862938466,102.85147670000003,,physical lift and upright placement verified
8,8,random_008,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.531991,0.005393,0.7599922905891091,0.8869790435730062,0.45111502709593226,-0.08100197780966013,0.7599999537849339,0.12698675298389706,0.0014990813713238722,0.00010950624731743726,,,,SUCCESS,10,0.0007145509967126611,0.0007146280736655542,1.1874949597374318e-07,-0.0004467998709170029,-9.189420448950728e-05,0.0005500076796996726,5.016746847000036,1.1173288030000776,1.0,0.01529223,2.786644553094744,104.33039870799996,,physical lift and upright placement verified
9,9,random_009,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.497635,0.010712,0.7599922905891091,0.8875054412995619,0.4509726019165028,-0.08076577348057787,0.7599999285978462,0.12751315071045277,0.0012378867139764803,9.461106442344036e-05,,,,SUCCESS,10,0.0010051834126233498,0.0010051834126233498,0.0,0.0008404738565641612,-3.710253339609185e-05,0.0005501097994590545,5.261475032999897,1.1001109260000703,1.0,0.014030141000000001,3.042061824726896,102.32729676500003,,physical lift and upright placement verified
10,10,random_010,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.544754,-0.05922,0.7599922905891091,0.8859591061054305,0.45326931377025087,-0.08570068437681758,0.7599999722762575,0.12596681551632138,0.006571621937787693,0.00011083613055335106,,,,SUCCESS,10,0.0018758096413313905,0.0018758096413313905,0.0,-0.0010330667415926476,0.0014658610249810092,0.0005501694042461605,5.235244997999871,1.1026351350001278,1.0,0.014839005,2.9566459792919177,121.39990987200008,,physical lift and upright placement verified
