trial,scenario_index,scenario_name,perception_mode,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,perception_validation_state,perception_samples,perception_mean_error_m,perception_max_error_m,perception_std_error_m,perception_mean_x_error_m,perception_mean_y_error_m,perception_mean_z_error_m,perception_first_detection_latency_s,perception_validation_duration_s,perception_detection_rate,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
1,1,baseline_001,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8874250118582043,0.44975777278166007,-0.0796613195274503,0.7599999370674958,0.12743272126909522,0.0004163874298675391,9.419023411416743e-05,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.8786573529998805,1.2045058800001698,1.0,0.015395193,2.9708701087763467,109.17643567999994,,physical lift and upright placement verified
2,2,baseline_002,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.887534947076275,0.45128787581222163,-0.08132458934830222,0.7599999600221822,0.1275426564871659,0.0018474742355279058,4.4666317003257075e-05,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.884147235,1.1978829439999572,1.0,0.004837771,3.358331087475692,107.54254685699993,,physical lift and upright placement verified
3,3,baseline_003,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8879234218534775,0.44955743603892295,-0.07939514010038165,0.7599999811152369,0.1279311312643684,0.0007494787242925393,1.4337297576862813e-05,,,,SUCCESS,10,0.0005504944389219371,0.0005505944965992767,1.5416273254058012e-07,-1.5511657165956372e-05,1.6195190197666763e-05,0.000550037481950895,5.1073911890000545,1.1454212749999897,1.0,0.00500509,3.719812622466208,109.6073160169999,,physical lift and upright placement verified
4,4,baseline_004,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8860731877974484,0.4524755892496469,-0.08250200181744714,0.7599999535038023,0.12608089720833926,0.003519737949001043,8.552664450745719e-05,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.880270567000025,1.2065440139999737,1.0,0.015820474,3.068659870081964,109.11779891099991,,physical lift and upright placement verified
5,5,baseline_005,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8877885081932396,0.44932190557368773,-0.07927850805178839,0.7599999464328377,0.1277962176041305,0.0009901326604043565,0.00010240302197661064,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.885544945999982,1.210286804000134,1.0,0.005493414,4.010814292356209,121.15452894400005,,physical lift and upright placement verified
6,6,baseline_006,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8876012000390527,0.45118644482807846,-0.08121960964813502,0.7599999830501284,0.12760890944994363,0.0017014990520671498,1.2547858734911261e-05,,,,SUCCESS,10,0.0005504944389219371,0.0005505944965992767,1.5416273254058012e-07,-1.5511657165956372e-05,1.6195190197666763e-05,0.000550037481950895,5.024054327000158,1.145528841000214,1.0,0.005169297,2.944622927156286,108.98888194899973,,physical lift and upright placement verified
7,7,baseline_007,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8874594510548776,0.4480102081340321,-0.07795568359648479,0.7599999848138015,0.12746716046576845,0.002852805851750889,1.3713635377634418e-05,,,,SUCCESS,10,0.0005504944389219371,0.0005505944965992767,1.5416273254058012e-07,-1.5511657165956372e-05,1.6195190197666763e-05,0.000550037481950895,5.147892144000252,1.1594794629995704,1.0,0.015823820000000002,2.7886314976883297,106.77204486699975,,physical lift and upright placement verified
8,8,baseline_008,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8879318660996005,0.4497737345181172,-0.07970808947347872,0.7599999833832375,0.1279395755104914,0.000369334298517899,1.4235251457258534e-05,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.828043392999916,1.2091436309997334,1.0,0.015486208999999999,4.308878645313314,130.0492920620004,,physical lift and upright placement verified
9,9,baseline_009,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8866870463314038,0.45220035197506464,-0.0824701627600771,0.759999968594335,0.12669475574229472,0.0033080587776562905,4.8409793910877364e-05,,,,SUCCESS,10,0.0005499868325525654,0.000550586586926248,7.031430000639763e-07,-1.5511657165956372e-05,1.619519019766678e-05,0.0005495294527714814,4.818146742999943,1.2008758800002397,1.0,0.015827425,3.176644660721391,108.96073453999998,,physical lift and upright placement verified
10,10,baseline_010,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.52,2.0007447406531074e-20,0.7599922905891091,0.8876068745613822,0.45118093249408486,-0.08118644808401969,0.7599998059440883,0.1276145839722731,0.0016739954149630014,9.69625283532739e-05,,,,SUCCESS,10,0.0005505964740175634,0.0005505964740175634,0.0,-1.5511657165956372e-05,1.6195190197666752e-05,0.000550139601834844,5.0247395410001445,1.1832428519996938,1.0,0.014908662,3.029937422236877,106.45057239400012,,physical lift and upright placement verified
