trial,scenario_index,scenario_name,perception_mode,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,perception_validation_state,perception_samples,perception_mean_error_m,perception_max_error_m,perception_std_error_m,perception_mean_x_error_m,perception_mean_y_error_m,perception_mean_z_error_m,perception_first_detection_latency_s,perception_validation_duration_s,perception_detection_rate,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
1,1,random_001,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.531154,-0.056999,0.7599922905891091,0.8879087741131257,0.44961612434074627,-0.0810044962863446,0.7599999846569622,0.12791648352401663,0.001075347995433564,1.306022544728445e-05,,,,SUCCESS,10,0.0013379468652199103,0.0013381933764272961,2.8891582931579816e-07,-0.0004949894357672013,0.001114931157511427,0.0005495592551116327,4.775917918000232,1.2017831519997344,1.0,0.004973796,2.7838353023836744,125.98432722200005,,physical lift and upright placement verified
2,2,random_002,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.502002,-0.033215,0.7599922905891091,0.8878729247443615,0.44838984365643814,-0.07949539863557731,0.7599998466890394,0.12788063415525242,0.0016873725170198908,8.842638798750348e-05,,,,SUCCESS,10,0.001230719047765002,0.0012307638010151689,6.894627235908864e-08,0.0009222710287730695,0.0006012582538605371,0.0005500672841843538,5.103217964999658,1.1413835090002067,1.0,0.00778322,2.8537171951720337,107.04002947200024,,physical lift and upright placement verified
3,3,random_003,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.538918,0.021204,0.7599922905891091,0.8877101077584549,0.4510492215971873,-0.08150993725683779,0.7599999802037603,0.12771781716934583,0.0018386887936741678,1.9766288961818032e-05,,,,SUCCESS,10,0.0008586289683536608,0.0008586931103296885,9.881885474027117e-08,-0.0006502539294491738,0.00010911036056395623,0.000550007679681909,4.9265044200001284,1.1568006789998435,1.0,0.005811885,3.4593905537361973,108.64987738599984,,physical lift and upright placement verified
4,4,random_004,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.551374,-0.049567,0.7599922905891091,0.8878927400659371,0.4494327214189327,-0.08099315092903543,0.7599999395672001,0.127900449476828,0.0011437454961807725,5.130462166658104e-05,,,,SUCCESS,10,0.001638427626167641,0.001638628925943432,2.3592218545280854e-07,-0.0009449774352494611,0.0012204289895148684,0.0005495592552539633,4.705814714000098,1.2053620679998858,1.0,0.015027891,3.0389781320749867,126.3907338390004,,physical lift and upright placement verified
5,5,random_005,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.513754,-0.056424,0.7599922905891091,0.8879833827056789,0.4497826558215187,-0.08310454937172092,0.7599999388395762,0.12799109211656978,0.0031121480197948553,0.00010934637437278885,,,,SUCCESS,10,0.001660131972429324,0.0016603306403198547,2.3283737519546873e-07,0.0004762173250324464,0.0014923938519835478,0.0005495592550049403,4.730239040000015,1.213502673000221,1.0,0.016006514,2.9641529311506245,125.09153899800003,,physical lift and upright placement verified
6,6,random_006,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.497491,0.000643,0.7599922905891091,0.8879762696102624,0.44865151342793785,-0.07896181787457107,0.7599999775558566,0.12798397902115333,0.0017018337642366302,1.3472320895799749e-05,,,,SUCCESS,10,0.001141244770625009,0.001141533742261928,3.3868828800158073e-07,0.0009760865646351591,0.00021850491643907142,0.000549499650395692,4.791930556000352,1.1967804159999105,1.0,0.005848746,3.2403738090753476,107.08477485999992,,physical lift and upright placement verified
7,7,random_007,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.482123,-0.036139,0.7599922905891091,0.8875122422675349,0.447786709898159,-0.07835641746744677,0.7599999818711031,0.12751995167842578,0.00275681276414452,1.8976067634857116e-05,,,,SUCCESS,10,0.0017330697475616088,0.0017331015281611306,4.896017861073263e-08,0.001459222135227034,0.0007560604946919638,0.0005500672840064961,4.922504664999906,1.1477927180003462,1.0,0.015678018999999998,3.1201969363649686,110.80049361700003,,physical lift and upright placement verified
8,8,random_008,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.531991,0.005393,0.7599922905891091,0.8861484132706869,0.4522033679440826,-0.08234613537765921,0.759999983596739,0.12615612268157783,0.003218568238764556,1.2749559400407728e-05,,,,SUCCESS,10,0.0007146295971117779,0.0007146295971117779,0.0,-0.0004467998709170029,-9.189420448950728e-05,0.0005501097995836216,5.154098257999976,1.1277015370001209,1.0,0.015632602,2.869217144586745,107.88009053499991,,physical lift and upright placement verified
9,9,random_009,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.497635,0.010712,0.7599922905891091,0.8878815464667131,0.4484979607739627,-0.07860779518032725,0.7599999391502921,0.12788925587760402,0.0020480127197303965,1.3898428017007624e-05,,,,SUCCESS,10,0.0010048497970324773,0.0010051779972250945,3.8467571416155337e-07,0.0008404738565641612,-3.710253339609185e-05,0.000549499650395692,4.719416220999847,1.208980055000211,1.0,0.014359729,3.620256225603428,109.66359551200003,,physical lift and upright placement verified
10,10,random_010,rgbd,fallback_chain,,,,,,,SUCCESS,SUCCESS,0.544754,-0.05922,0.7599922905891091,0.8867326172719334,0.4509050790988655,-0.08348422024539119,0.7599999789788603,0.1267403266828243,0.0035998553990457616,3.092499675040067e-05,,,,SUCCESS,10,0.0018756308978219894,0.0018758067390924134,2.0608289785073017e-07,-0.0010330667415926476,0.0014658610249810092,0.000549559255182798,4.7952505819998805,1.2207949550002013,1.0,0.015407376,4.395086873692416,164.95165936900003,,physical lift and upright placement verified
