"trial","pair","mode","planner_id","grasp_yaw_offset_deg","grasp_yaw_was_forced","grasp_prevalidation_max_rounds","pre_place_joint_replay_requested","pre_place_joint_reference_positions_rad","pre_place_joint_planned_positions_rad","pre_place_joint_replay_max_plan_delta_rad","grasp_height_offset_m","gripper_closed_position_m","payload_transfer_velocity_scaling_factor","place_descent_velocity_scaling_factor","place_descent_recovery_velocity_scaling_factor","place_descent_stage_count","place_descent_backend","place_descent_execution_time_s","servo_cartesian_fallback_used","servo_cartesian_fallback_count","servo_watchdog_check_count","servo_fault_injection_type","servo_fault_injection_stage","servo_fault_injection_delay_s","servo_fault_injection_triggered","servo_fault_injection_observed_stage","servo_watchdog_stop_latency_s","servo_watchdog_stop_latency_limit_s","servo_watchdog_safe_stop_passed","physical_disturbance_enabled","physical_disturbance_stage","physical_disturbance_delay_s","physical_disturbance_duration_s","physical_disturbance_force_x_n","physical_disturbance_force_y_n","physical_disturbance_force_z_n","physical_disturbance_applied","physical_disturbance_cleared","physical_disturbance_observed_stage","physical_disturbance_stop_latency_s","physical_disturbance_stop_latency_limit_s","physical_disturbance_safe_stop_passed","final_state","failure_reason","elapsed_s","samples","max_arm_position_error_rad","rms_arm_position_error_rad","max_transfer_arm_position_error_rad","rms_transfer_arm_position_error_rad","max_gripper_position_error_m","max_payload_relative_drift_m","max_grasp_probe_relative_drift_m","payload_bilateral_contact_ratio","physical_lift_delta_m","physical_place_error_m","physical_final_tilt_deg","first_payload_drift_stage","first_payload_drift_elapsed_s","pre_descent_arm_positions_rad","telemetry_csv","telemetry_summary","rosbag_path","log_path"
"1","1","unloaded","RRTConnectkConfigDefault","0.0","False","4","False","","[-0.6998496971210615, 0.08453778859895697, 0.3559216910413776, -2.428678405018116, 0.050358743846613485, 2.470963218722516, 1.1595633084633792]","","0.1","0.022","0.03","0.01","0.02","6","cartesian","23.809047918","False","0","0","","2","0.5","False","","","0.15","","False","3","0.5","0.1","0.0","2.0","0.0","False","False","","","0.2","","SUCCESS","","114.23269654599994","1477","0.00014455518260594186","1.069083833201274e-05","0.00014455518260594186","5.504360700894535e-06","7.121158518135634e-05","","","0.0","","","","","","[-0.6998472286512532, 0.08454518036924169, 0.35591886655286625, -2.4286822929007585, 0.05033880430241382, 2.4709806613490906, 1.1595828808137156]","","","",""
"2","1","loaded","RRTConnectkConfigDefault","0.0","True","4","True","[-0.6998496971210615, 0.08453778859895697, 0.3559216910413776, -2.428678405018116, 0.050358743846613485, 2.470963218722516, 1.1595633084633792]","[-0.6997404698189814, 0.08635275928044382, 0.3530656405440791, -2.432172918055149, 0.05496345067641377, 2.4660640823687845, 1.1577772492263803]","0.004899136354215461","0.1","0.022","0.03","0.01","0.02","6","cartesian","24.123745512","False","0","0","","2","0.5","False","","","0.15","","False","3","0.5","0.1","0.0","2.0","0.0","False","False","","","0.2","","SUCCESS","","142.468331056","1923","0.011431726018609645","0.0014437857861526622","0.0001305000000001999","5.398198456063429e-06","0.003417492439964063","0.00267439012287625","4.613538527696915e-06","0.9032258064516129","0.12221512977128135","0.005768711195792717","1.079947731352768e-05","","","[-0.6997394568414078, 0.08635563609628304, 0.35306449966363496, -2.432174714236881, 0.05495533627627847, 2.466071887683575, 1.1577848597835947]","","","",""
"3","2","unloaded","RRTConnectkConfigDefault","0.0","False","4","False","","[0.9173770802236387, 0.15308076726681646, -1.229510994870811, -2.486014329649238, 0.15261266428832881, 2.5154975949777967, 1.2227576599478795]","","0.1","0.022","0.03","0.01","0.02","6","cartesian","32.571476614999995","False","0","0","","2","0.5","False","","","0.15","","False","3","0.5","0.1","0.0","2.0","0.0","False","False","","","0.2","","SUCCESS","","137.05461600699994","1874","0.0002804604618884543","1.4856176718744e-05","0.00025211111216605353","1.268039415179314e-05","5.9199915289742666e-05","","","0.0","","","","","","[0.9173677630024596, 0.15308464334442465, -1.2295007141268048, -2.4860147276992652, 0.15262457110919384, 2.515501014970305, 1.2227436074003042]","","","",""
"4","2","loaded","RRTConnectkConfigDefault","0.0","True","4","True","[0.9173770802236387, 0.15308076726681646, -1.229510994870811, -2.486014329649238, 0.15261266428832881, 2.5154975949777967, 1.2227576599478795]","[0.9211530906246156, 0.14883707642749705, -1.234002787534466, -2.4815480240736667, 0.15296800324050408, 2.5152406774221836, 1.227341177880333]","0.0045835179323330255","0.1","0.022","0.03","0.01","0.02","6","cartesian","32.471940401","False","0","0","","2","0.5","False","","","0.15","","False","3","0.5","0.1","0.0","2.0","0.0","False","False","","","0.2","","SUCCESS","","158.73063594099995","2120","0.014571364885958893","0.0021911154163019035","0.0001896420277676114","6.516423101832314e-06","0.0033856317775960397","0.0036490111182253026","2.265473919045503e-06","0.9152046783625731","0.12373314958723247","0.008869282515058287","0.00010602961255338343","","","[0.9211482329162546, 0.14884031913391055, -1.233995127157512, -2.4815482734541336, 0.15297685106666944, 2.5152429223694637, 1.2273304639976057]","","","",""
"5","3","unloaded","RRTConnectkConfigDefault","0.0","False","4","False","","[-0.24331830924015924, 0.04461952455961073, -0.11997135808267642, -2.496929230360141, -0.20421849732821182, 2.58421977941445, 1.455492028026763]","","0.1","0.022","0.03","0.01","0.02","6","cartesian","28.563373544","False","0","0","","2","0.5","False","","","0.15","","False","3","0.5","0.1","0.0","2.0","0.0","False","False","","","0.2","","SUCCESS","","123.97228997499997","1689","0.00022513847312812473","1.166644800130756e-05","0.00020245176300537349","7.459661757655543e-06","7.943771516668446e-05","","","0.0","","","","","","[-0.2433183092401592, 0.044619524559716, -0.11997135808266654, -2.4969292303603123, -0.20421849732832167, 2.584219779414104, 1.4554920280267656]","","","",""
"6","3","loaded","RRTConnectkConfigDefault","0.0","True","4","True","[-0.24331830924015924, 0.04461952455961073, -0.11997135808267642, -2.496929230360141, -0.20421849732821182, 2.58421977941445, 1.455492028026763]","[-0.24362439964288252, 0.04291434484027998, -0.12015180965959799, -2.495354810509051, -0.20203420596011526, 2.5873467195870967, 1.4505258441331519]","0.004966183893848175","0.1","0.022","0.03","0.01","0.02","6","cartesian","28.318292639000003","False","0","0","","2","0.5","False","","","0.15","","False","3","0.5","0.1","0.0","2.0","0.0","False","False","","","0.2","","SUCCESS","","145.000857194","1956","0.011438339064881342","0.0014486093990521728","0.00011921197106651293","4.251652744477044e-06","0.00340067144298091","0.007186689418200161","6.528414644203772e-07","0.9065520945220193","0.12791123150557326","0.007760066414936124","1.303228910417746e-05","","","[-0.24362543362216504, 0.042918647956249785, -0.12014997474317085, -2.4953543505077564, -0.2020142664162705, 2.587347124661031, 1.4505034615440398]","","","",""
"7","4","unloaded","RRTConnectkConfigDefault","0.0","False","4","False","null","[-0.146266042621277, 0.05042602254514807, -0.18471792034372858, -2.5155914068497975, -0.015881187162342755, 2.625632606545572, 1.3535942584074332]","","0.1","0.022","0.03","0.01","0.02","6","cartesian","24.383484216","False","0","0","none","2","0.5","False","","","0.15","","False","3","0.5","0.1","0.0","2.0","0.0","False","False","","","0.2","","SUCCESS","","120.784279165","1596","0.00024269611175897765","1.0771647993606871e-05","0.0001261790491294823","4.165187797358569e-06","4.0948677009405854e-05","","","0.0","","","","","","[-0.14626749903646277, 0.050437801611221814, -0.18471551783574577, -2.5155876946483167, -0.015868091658617106, 2.625626650251505, 1.3535608769403005]","","","",""
"8","4","loaded","RRTConnectkConfigDefault","0.0","True","4","True","[-0.146266042621277, 0.05042602254514807, -0.18471792034372858, -2.5155914068497975, -0.015881187162342755, 2.625632606545572, 1.3535942584074332]","[-0.14154716315738325, 0.04821365399941191, -0.18385330241932835, -2.5129845691354435, -0.01589786792230911, 2.626609381683242, 1.3521329303508247]","0.0047188794636167375","0.1","0.022","0.03","0.01","0.02","6","cartesian","24.01522004","False","0","0","none","2","0.5","False","","","0.15","","False","3","0.5","0.1","0.0","2.0","0.0","False","False","","","0.2","","SUCCESS","","149.635607194","1979","0.014003476597327147","0.002202361872413914","0.00013050000006284423","5.7700123570803416e-06","0.0033221928184700746","0.003244690874262427","4.1422761837635805e-06","0.9092827004219409","0.12152916004366765","0.008574354607298336","1.2948118433879161e-05","","","[-0.14154800361733103, 0.048221286556577814, -0.18385184631794316, -2.512981875208177, -0.015889463918352338, 2.6266043205071097, 1.3521123688639805]","","","",""
"9","5","unloaded","RRTConnectkConfigDefault","0.0","False","4","False","null","[0.7025810493790591, 0.11194388473301793, -1.0449859861605264, -2.440557602241884, 0.0397581870790051, 2.4409321595310884, 1.2092244749425136]","","0.1","0.022","0.03","0.01","0.02","6","cartesian","30.694338238","False","0","0","none","2","0.5","False","","","0.15","","False","3","0.5","0.1","0.0","2.0","0.0","False","False","","","0.2","","SUCCESS","","132.88067066900004","1798","0.00039807022548199456","3.447872818234908e-05","0.00024099029773311242","1.8931336625699712e-05","6.499720875282472e-05","","","0.0","","","","","","[0.7025719449267918, 0.11195405859716197, -1.0449752828031884, -2.4405619995501504, 0.039790409996397456, 2.4409503740411553, 1.2091988295341927]","","","",""
"10","5","loaded","RRTConnectkConfigDefault","0.0","True","4","True","[0.7025810493790591, 0.11194388473301793, -1.0449859861605264, -2.440557602241884, 0.0397581870790051, 2.4409321595310884, 1.2092244749425136]","[0.7057188702077061, 0.10896387045398091, -1.0434000937826475, -2.4382021907119933, 0.04422207181401429, 2.4442363728560275, 1.2057090632228544]","0.004463884735014287","0.1","0.022","0.03","0.01","0.02","6","cartesian","30.314496053","False","0","0","none","2","0.5","False","","","0.15","","False","3","0.5","0.1","0.0","2.0","0.0","False","False","","","0.2","","SUCCESS","","152.15568251000002","2049","0.010050048665645961","0.0008772750027245664","0.009970959230208076","0.00015009360255453626","0.0035062775390293614","0.011348491564370082","2.5121072567727332e-05","0.9276206322795341","0.13025504126978193","0.004772613240554431","1.1131846416284069e-05","","","[0.7057087986923662, 0.10897620462881998, -1.0433881575416422, -2.4382068614468406, 0.044259044071882796, 2.444256076149111, 1.20568052041076]","","","",""
